"INDIC","Indicator","LOCATION","Country","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CST","Constant 2015 PPPs","AUS","Australia","2011","2011","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","AUS","Australia","2012","2012","OECDIDX","OECD=100","0","Units",,,114,,
"CST","Constant 2015 PPPs","AUS","Australia","2013","2013","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","AUS","Australia","2014","2014","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","AUS","Australia","2015","2015","OECDIDX","OECD=100","0","Units",,,111,,
"CST","Constant 2015 PPPs","AUS","Australia","2016","2016","OECDIDX","OECD=100","0","Units",,,111,,
"CST","Constant 2015 PPPs","AUS","Australia","2017","2017","OECDIDX","OECD=100","0","Units",,,110,,
"CST","Constant 2015 PPPs","AUS","Australia","2018","2018","OECDIDX","OECD=100","0","Units",,,109,,
"CST","Constant 2015 PPPs","AUS","Australia","2019","2019","OECDIDX","OECD=100","0","Units",,,108,,
"PPP","Purchasing Power Parities","AUT","Austria","2009","2009","NATUSD","National currency per US dollar","0","Units",,,0.843,,
"PPP","Purchasing Power Parities","AUT","Austria","2010","2010","NATUSD","National currency per US dollar","0","Units",,,0.842,,
"PPP","Purchasing Power Parities","AUT","Austria","2011","2011","NATUSD","National currency per US dollar","0","Units",,,0.831,,
"PPP","Purchasing Power Parities","AUT","Austria","2012","2012","NATUSD","National currency per US dollar","0","Units",,,0.814,,
"PPP","Purchasing Power Parities","AUT","Austria","2013","2013","NATUSD","National currency per US dollar","0","Units",,,0.797,,
"PPP","Purchasing Power Parities","AUT","Austria","2014","2014","NATUSD","National currency per US dollar","0","Units",,,0.799,,
"PPP","Purchasing Power Parities","AUT","Austria","2015","2015","NATUSD","National currency per US dollar","0","Units",,,0.799,,
"PPP","Purchasing Power Parities","AUT","Austria","2016","2016","NATUSD","National currency per US dollar","0","Units",,,0.777,,
"PPP","Purchasing Power Parities","AUT","Austria","2017","2017","NATUSD","National currency per US dollar","0","Units",,,0.77,,
"PPP","Purchasing Power Parities","AUT","Austria","2018","2018","NATUSD","National currency per US dollar","0","Units",,,0.767,,
"PPP","Purchasing Power Parities","AUT","Austria","2019","2019","NATUSD","National currency per US dollar","0","Units",,,0.766,,
"CPL","Comparative Price Levels","AUT","Austria","2009","2009","OECDIDX","OECD=100","0","Units",,,115,,
"CPL","Comparative Price Levels","AUT","Austria","2010","2010","OECDIDX","OECD=100","0","Units",,,109,,
"CPL","Comparative Price Levels","AUT","Austria","2011","2011","OECDIDX","OECD=100","0","Units",,,110,,
"CPL","Comparative Price Levels","AUT","Austria","2012","2012","OECDIDX","OECD=100","0","Units",,,103,,
"CPL","Comparative Price Levels","AUT","Austria","2013","2013","OECDIDX","OECD=100","0","Units",,,108,,
"CPL","Comparative Price Levels","AUT","Austria","2014","2014","OECDIDX","OECD=100","0","Units",,,109,,
"CPL","Comparative Price Levels","AUT","Austria","2015","2015","OECDIDX","OECD=100","0","Units",,,100,,
"CPL","Comparative Price Levels","AUT","Austria","2016","2016","OECDIDX","OECD=100","0","Units",,,99,,
"CPL","Comparative Price Levels","AUT","Austria","2017","2017","OECDIDX","OECD=100","0","Units",,,100,,
"CPL","Comparative Price Levels","AUT","Austria","2018","2018","OECDIDX","OECD=100","0","Units",,,103,,
"CPL","Comparative Price Levels","AUT","Austria","2019","2019","OECDIDX","OECD=100","0","Units",,,100,,
"CUR","Current PPPs","AUT","Austria","2009","2009","OECDIDX","OECD=100","0","Units",,,120,,
"CUR","Current PPPs","AUT","Austria","2010","2010","OECDIDX","OECD=100","0","Units",,,119,,
"CUR","Current PPPs","AUT","Austria","2011","2011","OECDIDX","OECD=100","0","Units",,,121,,
"CUR","Current PPPs","AUT","Austria","2012","2012","OECDIDX","OECD=100","0","Units",,,123,,
"CUR","Current PPPs","AUT","Austria","2013","2013","OECDIDX","OECD=100","0","Units",,,123,,
"CUR","Current PPPs","AUT","Austria","2014","2014","OECDIDX","OECD=100","0","Units",,,121,,
"CUR","Current PPPs","AUT","Austria","2015","2015","OECDIDX","OECD=100","0","Units",,,121,,
"CUR","Current PPPs","AUT","Austria","2016","2016","OECDIDX","OECD=100","0","Units",,,123,,
"CUR","Current PPPs","AUT","Austria","2017","2017","OECDIDX","OECD=100","0","Units",,,123,,
"CUR","Current PPPs","AUT","Austria","2018","2018","OECDIDX","OECD=100","0","Units",,,123,,
"CUR","Current PPPs","AUT","Austria","2019","2019","OECDIDX","OECD=100","0","Units",,,123,,
"CST","Constant 2015 PPPs","AUT","Austria","2009","2009","OECDIDX","OECD=100","0","Units",,,122,,
"CST","Constant 2015 PPPs","AUT","Austria","2010","2010","OECDIDX","OECD=100","0","Units",,,121,,
"CST","Constant 2015 PPPs","AUT","Austria","2011","2011","OECDIDX","OECD=100","0","Units",,,122,,
"CST","Constant 2015 PPPs","AUT","Austria","2012","2012","OECDIDX","OECD=100","0","Units",,,122,,
"CST","Constant 2015 PPPs","AUT","Austria","2013","2013","OECDIDX","OECD=100","0","Units",,,120,,
"CST","Constant 2015 PPPs","AUT","Austria","2014","2014","OECDIDX","OECD=100","0","Units",,,118,,
"CST","Constant 2015 PPPs","AUT","Austria","2015","2015","OECDIDX","OECD=100","0","Units",,,115,,
"CST","Constant 2015 PPPs","AUT","Austria","2016","2016","OECDIDX","OECD=100","0","Units",,,115,,
"CST","Constant 2015 PPPs","AUT","Austria","2017","2017","OECDIDX","OECD=100","0","Units",,,114,,
"CST","Constant 2015 PPPs","AUT","Austria","2018","2018","OECDIDX","OECD=100","0","Units",,,115,,
"CST","Constant 2015 PPPs","AUT","Austria","2019","2019","OECDIDX","OECD=100","0","Units",,,114,,
"PPP","Purchasing Power Parities","BEL","Belgium","2009","2009","NATUSD","National currency per US dollar","0","Units",,,0.849,,
"PPP","Purchasing Power Parities","BEL","Belgium","2010","2010","NATUSD","National currency per US dollar","0","Units",,,0.836,,
"PPP","Purchasing Power Parities","BEL","Belgium","2011","2011","NATUSD","National currency per US dollar","0","Units",,,0.832,,
"PPP","Purchasing Power Parities","BEL","Belgium","2012","2012","NATUSD","National currency per US dollar","0","Units",,,0.822,,
"PPP","Purchasing Power Parities","BEL","Belgium","2013","2013","NATUSD","National currency per US dollar","0","Units",,,0.806,,
"PPP","Purchasing Power Parities","BEL","Belgium","2014","2014","NATUSD","National currency per US dollar","0","Units",,,0.8,,
"PPP","Purchasing Power Parities","BEL","Belgium","2015","2015","NATUSD","National currency per US dollar","0","Units",,,0.8,,
"PPP","Purchasing Power Parities","BEL","Belgium","2016","2016","NATUSD","National currency per US dollar","0","Units",,,0.781,,
"PPP","Purchasing Power Parities","BEL","Belgium","2017","2017","NATUSD","National currency per US dollar","0","Units",,,0.773,,
"PPP","Purchasing Power Parities","BEL","Belgium","2018","2018","NATUSD","National currency per US dollar","0","Units",,,0.77,,
"PPP","Purchasing Power Parities","BEL","Belgium","2019","2019","NATUSD","National currency per US dollar","0","Units",,,0.768,,
"CPL","Comparative Price Levels","BEL","Belgium","2009","2009","OECDIDX","OECD=100","0","Units",,,116,,
"CPL","Comparative Price Levels","BEL","Belgium","2010","2010","OECDIDX","OECD=100","0","Units",,,108,,
"CPL","Comparative Price Levels","BEL","Belgium","2011","2011","OECDIDX","OECD=100","0","Units",,,110,,
"CPL","Comparative Price Levels","BEL","Belgium","2012","2012","OECDIDX","OECD=100","0","Units",,,104,,
"CPL","Comparative Price Levels","BEL","Belgium","2013","2013","OECDIDX","OECD=100","0","Units",,,109,,
"CPL","Comparative Price Levels","BEL","Belgium","2014","2014","OECDIDX","OECD=100","0","Units",,,109,,
"CPL","Comparative Price Levels","BEL","Belgium","2015","2015","OECDIDX","OECD=100","0","Units",,,100,,
"CPL","Comparative Price Levels","BEL","Belgium","2016","2016","OECDIDX","OECD=100","0","Units",,,99,,
"CPL","Comparative Price Levels","BEL","Belgium","2017","2017","OECDIDX","OECD=100","0","Units",,,101,,
"CPL","Comparative Price Levels","BEL","Belgium","2018","2018","OECDIDX","OECD=100","0","Units",,,103,,
"CPL","Comparative Price Levels","BEL","Belgium","2019","2019","OECDIDX","OECD=100","0","Units",,,100,,
"CUR","Current PPPs","BEL","Belgium","2009","2009","OECDIDX","OECD=100","0","Units",,,111,,
"CUR","Current PPPs","BEL","Belgium","2010","2010","OECDIDX","OECD=100","0","Units",,,113,,
"CUR","Current PPPs","BEL","Belgium","2011","2011","OECDIDX","OECD=100","0","Units",,,111,,
"CUR","Current PPPs","BEL","Belgium","2012","2012","OECDIDX","OECD=100","0","Units",,,112,,
"CUR","Current PPPs","BEL","Belgium","2013","2013","OECDIDX","OECD=100","0","Units",,,112,,
"CUR","Current PPPs","BEL","Belgium","2014","2014","OECDIDX","OECD=100","0","Units",,,112,,
"CUR","Current PPPs","BEL","Belgium","2015","2015","OECDIDX","OECD=100","0","Units",,,112,,
"CUR","Current PPPs","BEL","Belgium","2016","2016","OECDIDX","OECD=100","0","Units",,,114,,
"CUR","Current PPPs","BEL","Belgium","2017","2017","OECDIDX","OECD=100","0","Units",,,114,,
"CUR","Current PPPs","BEL","Belgium","2018","2018","OECDIDX","OECD=100","0","Units",,,113,,
"CUR","Current PPPs","BEL","Belgium","2019","2019","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","BEL","Belgium","2009","2009","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","BEL","Belgium","2010","2010","OECDIDX","OECD=100","0","Units",,,112,,
"CST","Constant 2015 PPPs","BEL","Belgium","2011","2011","OECDIDX","OECD=100","0","Units",,,111,,
"CST","Constant 2015 PPPs","BEL","Belgium","2012","2012","OECDIDX","OECD=100","0","Units",,,110,,
"CST","Constant 2015 PPPs","BEL","Belgium","2013","2013","OECDIDX","OECD=100","0","Units",,,109,,
"CST","Constant 2015 PPPs","BEL","Belgium","2014","2014","OECDIDX","OECD=100","0","Units",,,108,,
"CST","Constant 2015 PPPs","BEL","Belgium","2015","2015","OECDIDX","OECD=100","0","Units",,,108,,
"CST","Constant 2015 PPPs","BEL","Belgium","2016","2016","OECDIDX","OECD=100","0","Units",,,107,,
"CST","Constant 2015 PPPs","BEL","Belgium","2017","2017","OECDIDX","OECD=100","0","Units",,,106,,
"CST","Constant 2015 PPPs","BEL","Belgium","2018","2018","OECDIDX","OECD=100","0","Units",,,106,,
"CST","Constant 2015 PPPs","BEL","Belgium","2019","2019","OECDIDX","OECD=100","0","Units",,,105,,
"PPP","Purchasing Power Parities","CAN","Canada","2009","2009","NATUSD","National currency per US dollar","0","Units",,,1.2,,
"PPP","Purchasing Power Parities","CAN","Canada","2010","2010","NATUSD","National currency per US dollar","0","Units",,,1.22,,
"PPP","Purchasing Power Parities","CAN","Canada","2011","2011","NATUSD","National currency per US dollar","0","Units",,,1.24,,
"PPP","Purchasing Power Parities","CAN","Canada","2012","2012","NATUSD","National currency per US dollar","0","Units",,,1.24,,
"PPP","Purchasing Power Parities","CAN","Canada","2013","2013","NATUSD","National currency per US dollar","0","Units",,,1.22,,
"PPP","Purchasing Power Parities","CAN","Canada","2014","2014","NATUSD","National currency per US dollar","0","Units",,,1.23,,
"PPP","Purchasing Power Parities","CAN","Canada","2015","2015","NATUSD","National currency per US dollar","0","Units",,,1.25,,
"PPP","Purchasing Power Parities","CAN","Canada","2016","2016","NATUSD","National currency per US dollar","0","Units",,,1.21,,
"PPP","Purchasing Power Parities","CAN","Canada","2017","2017","NATUSD","National currency per US dollar","0","Units",,,1.2,,
"PPP","Purchasing Power Parities","CAN","Canada","2018","2018","NATUSD","National currency per US dollar","0","Units",,,1.2,,
"PPP","Purchasing Power Parities","CAN","Canada","2019","2019","NATUSD","National currency per US dollar","0","Units",,,1.2,,
"CPL","Comparative Price Levels","CAN","Canada","2009","2009","OECDIDX","OECD=100","0","Units",,,103,,
"CPL","Comparative Price Levels","CAN","Canada","2010","2010","OECDIDX","OECD=100","0","Units",,,116,,
"CPL","Comparative Price Levels","CAN","Canada","2011","2011","OECDIDX","OECD=100","0","Units",,,119,,
"CPL","Comparative Price Levels","CAN","Canada","2012","2012","OECDIDX","OECD=100","0","Units",,,123,,
"CPL","Comparative Price Levels","CAN","Canada","2013","2013","OECDIDX","OECD=100","0","Units",,,121,,
"CPL","Comparative Price Levels","CAN","Canada","2014","2014","OECDIDX","OECD=100","0","Units",,,115,,
"CPL","Comparative Price Levels","CAN","Canada","2015","2015","OECDIDX","OECD=100","0","Units",,,110,,
"CPL","Comparative Price Levels","CAN","Canada","2016","2016","OECDIDX","OECD=100","0","Units",,,105,,
"CPL","Comparative Price Levels","CAN","Canada","2017","2017","OECDIDX","OECD=100","0","Units",,,107,,
"CPL","Comparative Price Levels","CAN","Canada","2018","2018","OECDIDX","OECD=100","0","Units",,,105,,
"CPL","Comparative Price Levels","CAN","Canada","2019","2019","OECDIDX","OECD=100","0","Units",,,106,,
"CUR","Current PPPs","CAN","Canada","2009","2009","OECDIDX","OECD=100","0","Units",,,114,,
"CUR","Current PPPs","CAN","Canada","2010","2010","OECDIDX","OECD=100","0","Units",,,114,,
"CUR","Current PPPs","CAN","Canada","2011","2011","OECDIDX","OECD=100","0","Units",,,113,,
"CUR","Current PPPs","CAN","Canada","2012","2012","OECDIDX","OECD=100","0","Units",,,112,,
"CUR","Current PPPs","CAN","Canada","2013","2013","OECDIDX","OECD=100","0","Units",,,113,,
"CUR","Current PPPs","CAN","Canada","2014","2014","OECDIDX","OECD=100","0","Units",,,114,,
"CUR","Current PPPs","CAN","Canada","2015","2015","OECDIDX","OECD=100","0","Units",,,108,,
"CUR","Current PPPs","CAN","Canada","2016","2016","OECDIDX","OECD=100","0","Units",,,109,,
"CUR","Current PPPs","CAN","Canada","2017","2017","OECDIDX","OECD=100","0","Units",,,109,,
"CUR","Current PPPs","CAN","Canada","2018","2018","OECDIDX","OECD=100","0","Units",,,109,,
"CUR","Current PPPs","CAN","Canada","2019","2019","OECDIDX","OECD=100","0","Units",,,107,,
"CST","Constant 2015 PPPs","CAN","Canada","2009","2009","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","CAN","Canada","2010","2010","OECDIDX","OECD=100","0","Units",,,112,,
"CST","Constant 2015 PPPs","CAN","Canada","2011","2011","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","CAN","Canada","2012","2012","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","CAN","Canada","2013","2013","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","CAN","Canada","2014","2014","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","CAN","Canada","2015","2015","OECDIDX","OECD=100","0","Units",,,111,,
"CST","Constant 2015 PPPs","CAN","Canada","2016","2016","OECDIDX","OECD=100","0","Units",,,109,,
"CST","Constant 2015 PPPs","CAN","Canada","2017","2017","OECDIDX","OECD=100","0","Units",,,109,,
"CST","Constant 2015 PPPs","CAN","Canada","2018","2018","OECDIDX","OECD=100","0","Units",,,108,,
"CST","Constant 2015 PPPs","CAN","Canada","2019","2019","OECDIDX","OECD=100","0","Units",,,107,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2009","2009","NATUSD","National currency per US dollar","0","Units",,,13.6,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2010","2010","NATUSD","National currency per US dollar","0","Units",,,13.7,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2011","2011","NATUSD","National currency per US dollar","0","Units",,,13.3,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2012","2012","NATUSD","National currency per US dollar","0","Units",,,13.3,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2013","2013","NATUSD","National currency per US dollar","0","Units",,,12.8,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2014","2014","NATUSD","National currency per US dollar","0","Units",,,12.7,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2015","2015","NATUSD","National currency per US dollar","0","Units",,,12.9,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2016","2016","NATUSD","National currency per US dollar","0","Units",,,12.6,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2017","2017","NATUSD","National currency per US dollar","0","Units",,,12.4,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2018","2018","NATUSD","National currency per US dollar","0","Units",,,12.4,,
"PPP","Purchasing Power Parities","CZE","Czech Republic","2019","2019","NATUSD","National currency per US dollar","0","Units",,,12.6,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2009","2009","OECDIDX","OECD=100","0","Units",,,70,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2010","2010","OECDIDX","OECD=100","0","Units",,,70,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2011","2011","OECDIDX","OECD=100","0","Units",,,72,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2012","2012","OECDIDX","OECD=100","0","Units",,,67,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2013","2013","OECDIDX","OECD=100","0","Units",,,66,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2014","2014","OECDIDX","OECD=100","0","Units",,,63,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2015","2015","OECDIDX","OECD=100","0","Units",,,59,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2016","2016","OECDIDX","OECD=100","0","Units",,,59,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2017","2017","OECDIDX","OECD=100","0","Units",,,61,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2018","2018","OECDIDX","OECD=100","0","Units",,,65,,
"CPL","Comparative Price Levels","CZE","Czech Republic","2019","2019","OECDIDX","OECD=100","0","Units",,,64,,
"CUR","Current PPPs","CZE","Czech Republic","2009","2009","OECDIDX","OECD=100","0","Units",,,81,,
"CUR","Current PPPs","CZE","Czech Republic","2010","2010","OECDIDX","OECD=100","0","Units",,,78,,
"CUR","Current PPPs","CZE","Czech Republic","2011","2011","OECDIDX","OECD=100","0","Units",,,78,,
"CUR","Current PPPs","CZE","Czech Republic","2012","2012","OECDIDX","OECD=100","0","Units",,,77,,
"CUR","Current PPPs","CZE","Czech Republic","2013","2013","OECDIDX","OECD=100","0","Units",,,78,,
"CUR","Current PPPs","CZE","Czech Republic","2014","2014","OECDIDX","OECD=100","0","Units",,,80,,
"CUR","Current PPPs","CZE","Czech Republic","2015","2015","OECDIDX","OECD=100","0","Units",,,81,,
"CUR","Current PPPs","CZE","Czech Republic","2016","2016","OECDIDX","OECD=100","0","Units",,,84,,
"CUR","Current PPPs","CZE","Czech Republic","2017","2017","OECDIDX","OECD=100","0","Units",,,86,,
"CUR","Current PPPs","CZE","Czech Republic","2018","2018","OECDIDX","OECD=100","0","Units",,,88,,
"CUR","Current PPPs","CZE","Czech Republic","2019","2019","OECDIDX","OECD=100","0","Units",,,89,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2009","2009","OECDIDX","OECD=100","0","Units",,,77,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2010","2010","OECDIDX","OECD=100","0","Units",,,77,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2011","2011","OECDIDX","OECD=100","0","Units",,,77,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2012","2012","OECDIDX","OECD=100","0","Units",,,76,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2013","2013","OECDIDX","OECD=100","0","Units",,,75,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2014","2014","OECDIDX","OECD=100","0","Units",,,75,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2015","2015","OECDIDX","OECD=100","0","Units",,,78,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2016","2016","OECDIDX","OECD=100","0","Units",,,78,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2017","2017","OECDIDX","OECD=100","0","Units",,,80,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2018","2018","OECDIDX","OECD=100","0","Units",,,80,,
"CST","Constant 2015 PPPs","CZE","Czech Republic","2019","2019","OECDIDX","OECD=100","0","Units",,,81,,
"PPP","Purchasing Power Parities","DNK","Denmark","2009","2009","NATUSD","National currency per US dollar","0","Units",,,7.72,,
"PPP","Purchasing Power Parities","DNK","Denmark","2010","2010","NATUSD","National currency per US dollar","0","Units",,,7.59,,
"PPP","Purchasing Power Parities","DNK","Denmark","2011","2011","NATUSD","National currency per US dollar","0","Units",,,7.47,,
"PPP","Purchasing Power Parities","DNK","Denmark","2012","2012","NATUSD","National currency per US dollar","0","Units",,,7.56,,
"PPP","Purchasing Power Parities","DNK","Denmark","2013","2013","NATUSD","National currency per US dollar","0","Units",,,7.35,,
"PPP","Purchasing Power Parities","DNK","Denmark","2014","2014","NATUSD","National currency per US dollar","0","Units",,,7.33,,
"PPP","Purchasing Power Parities","DNK","Denmark","2015","2015","NATUSD","National currency per US dollar","0","Units",,,7.3,,
"PPP","Purchasing Power Parities","DNK","Denmark","2016","2016","NATUSD","National currency per US dollar","0","Units",,,7.08,,
"PPP","Purchasing Power Parities","DNK","Denmark","2017","2017","NATUSD","National currency per US dollar","0","Units",,,6.85,,
"PPP","Purchasing Power Parities","DNK","Denmark","2018","2018","NATUSD","National currency per US dollar","0","Units",,,6.78,,
"PPP","Purchasing Power Parities","DNK","Denmark","2019","2019","NATUSD","National currency per US dollar","0","Units",,,6.75,,
"CPL","Comparative Price Levels","DNK","Denmark","2009","2009","OECDIDX","OECD=100","0","Units",,,141,,
"CPL","Comparative Price Levels","DNK","Denmark","2010","2010","OECDIDX","OECD=100","0","Units",,,132,,
"CPL","Comparative Price Levels","DNK","Denmark","2011","2011","OECDIDX","OECD=100","0","Units",,,132,,
"CPL","Comparative Price Levels","DNK","Denmark","2012","2012","OECDIDX","OECD=100","0","Units",,,129,,
"CPL","Comparative Price Levels","DNK","Denmark","2013","2013","OECDIDX","OECD=100","0","Units",,,133,,
"CPL","Comparative Price Levels","DNK","Denmark","2014","2014","OECDIDX","OECD=100","0","Units",,,134,,
"CPL","Comparative Price Levels","DNK","Denmark","2015","2015","OECDIDX","OECD=100","0","Units",,,123,,
"CPL","Comparative Price Levels","DNK","Denmark","2016","2016","OECDIDX","OECD=100","0","Units",,,121,,
"CPL","Comparative Price Levels","DNK","Denmark","2017","2017","OECDIDX","OECD=100","0","Units",,,120,,
"CPL","Comparative Price Levels","DNK","Denmark","2018","2018","OECDIDX","OECD=100","0","Units",,,122,,
"CPL","Comparative Price Levels","DNK","Denmark","2019","2019","OECDIDX","OECD=100","0","Units",,,118,,
"CUR","Current PPPs","DNK","Denmark","2009","2009","OECDIDX","OECD=100","0","Units",,,119,,
"CUR","Current PPPs","DNK","Denmark","2010","2010","OECDIDX","OECD=100","0","Units",,,122,,
"CUR","Current PPPs","DNK","Denmark","2011","2011","OECDIDX","OECD=100","0","Units",,,121,,
"CUR","Current PPPs","DNK","Denmark","2012","2012","OECDIDX","OECD=100","0","Units",,,119,,
"CUR","Current PPPs","DNK","Denmark","2013","2013","OECDIDX","OECD=100","0","Units",,,120,,
"CUR","Current PPPs","DNK","Denmark","2014","2014","OECDIDX","OECD=100","0","Units",,,119,,
"CUR","Current PPPs","DNK","Denmark","2015","2015","OECDIDX","OECD=100","0","Units",,,118,,
"CUR","Current PPPs","DNK","Denmark","2016","2016","OECDIDX","OECD=100","0","Units",,,121,,
"CUR","Current PPPs","DNK","Denmark","2017","2017","OECDIDX","OECD=100","0","Units",,,123,,
"CUR","Current PPPs","DNK","Denmark","2018","2018","OECDIDX","OECD=100","0","Units",,,124,,
"CUR","Current PPPs","DNK","Denmark","2019","2019","OECDIDX","OECD=100","0","Units",,,125,,
